역번호,역명,호선,lat,lon
2748,가산디지털단지,7,37.481072,126.882343
2732,강남구청,7,37.517186,127.04128
2729,건대입구,7,37.540693,127.07023
2736,고속터미널,7,37.50481,127.004943
2718,공릉(서울과학기술대),7,37.625742,127.072896
2750,광명사거리,7,37.479252,126.854876
2727,군자(능동),7,37.557121,127.079542
2760,굴포천,7,37.506997,126.73128
2753,까치울,7,37.506207,126.810939
2747,남구로,7,37.486056,126.887249
2739,남성,7,37.484596,126.971251
2737,내방,7,37.487618,126.993513
2715,노원,7,37.655128,127.061368
2734,논현,7,37.511093,127.021415
2746,대림(구로구청),7,37.49297,126.895801
2712,도봉산,7,37.689313,127.046222
2730,뚝섬유원지,7,37.53154,127.066704
2714,마들,7,37.66494,127.057675
2720,먹골,7,37.610637,127.077725
2723,면목,7,37.588579,127.087503
2735,반포,7,37.508178,127.011727
2744,보라매,7,37.499872,126.920428
2757,부천시청,7,37.504631,126.763538
2754,부천종합운동장,7,37.50538,126.797337
2761,부평구청,7,37.508336,126.720548
2724,사가정,7,37.580894,127.088478
2759,삼산체육관,7,37.506411,126.742153
2741,상도,7,37.502834,126.94791
2758,상동,7,37.505781,126.753083
2722,상봉(시외버스터미널),7,37.596362,127.085032
2713,수락산,7,37.67785,127.055315
2740,숭실대입구(살피재),7,37.496029,126.953822
2743,신대방삼거리,7,37.499701,126.928276
2756,신중동,7,37.503048,126.77596
2745,신풍,7,37.50008,126.90993
2728,어린이대공원(세종대),7,37.548014,127.074658
2752,온수(성공회대입구),7,37.492258,126.823388
2725,용마산,7,37.573647,127.086727
2742,장승배기,7,37.504898,126.93915
2711,장암,7,37.700109,127.053196
2716,중계,7,37.644583,127.064303
2726,중곡,7,37.565923,127.08432
2721,중화,7,37.602545,127.079264
2751,천왕,7,37.486637,126.838713
2749,철산,7,37.47605,126.867911
2731,청담,7,37.519365,127.05335
2738,이수,7,37.486263,126.981989
2755,춘의,7,37.503663,126.787036
2719,태릉입구,7,37.617983,127.07512
2717,하계,7,37.636352,127.06799
2733,학동,7,37.514229,127.031656
